matricula,nome_colaborador,cpf,lotacao,tipo_afastamento,cid,data_inicio_afastamento,data_fim_afastamento,dias_afastados
84025,Sr. Ryan Melo,120.857.439-60,RH,Auxílio Doença,M54.5,2024-04-05,2024-04-16,11
98921,Antônio Barbosa,914.368.507-20,Financeiro,Auxílio Doença,I10,2025-06-26,2025-09-16,82
95916,Calebe da Cruz,475.129.368-00,RH,Auxílio Acidente,M54.5,2024-11-05,2025-03-05,120
23740,Bianca Sales,531.860.924-42,TI,Licença Maternidade,I10,2024-05-26,2024-08-23,89
84752,Letícia Peixoto,936.425.817-73,Operações,Licença Maternidade,Z34.0,2024-11-26,2025-05-19,174
88737,Maria Eduarda Castro,420.615.973-43,RH,Auxílio Doença,M54.5,2024-01-24,2024-04-25,92
15802,Davi Lucca Caldeira,659.280.417-30,Financeiro,Auxílio Acidente,S93.4,2024-04-21,2024-09-05,137
71976,Diego da Cruz,581.207.439-97,Operações,Auxílio Acidente,F32.1,2024-03-11,2024-05-27,77
57103,Ian Nascimento,012.938.574-32,RH,Aposentadoria por Invalidez,M54.5,2025-11-17,2025-11-25,8
25141,Gabriela Duarte,754.689.321-64,Financeiro,Auxílio Doença,S93.4,2025-12-13,2026-01-05,23
96347,Alice Vieira,402.537.968-65,Operações,Licença Maternidade,I10,2024-07-06,2024-07-24,18
14316,Leonardo Carvalho,629.738.015-59,Operações,Auxílio Acidente,S93.4,2023-04-27,2023-10-18,174
70650,Luana Sales,198.475.203-05,TI,Auxílio Acidente,Z34.0,2024-03-08,2024-05-25,78
18275,Samuel da Conceição,968.057.134-39,Financeiro,Auxílio Acidente,M54.5,2025-06-19,2025-11-01,135
66983,João Gabriel Porto,740.895.613-10,Comercial,Licença Maternidade,I10,2024-11-21,2024-12-11,20
61150,Davi Lucas Ribeiro,367.208.951-68,Operações,Auxílio Acidente,I10,2024-07-16,2024-09-19,65
70321,Lucas Porto,805.261.934-33,RH,Auxílio Acidente,F32.1,2025-09-18,2025-12-13,86
32493,Maria Clara Costa,163.029.745-34,Operações,Auxílio Doença,M54.5,2024-06-04,2024-10-29,147
90106,Laís Silveira,743.958.021-41,TI,Auxílio Doença,S93.4,2025-05-10,2025-07-19,70
94865,Alexia Caldeira,304.276.591-16,Comercial,Auxílio Doença,F32.1,2023-10-05,2024-01-06,93
27151,Enzo Gabriel Pereira,645.903.187-84,Financeiro,Aposentadoria por Invalidez,Z34.0,2025-12-13,2026-03-15,92
44474,Luana Barbosa,859.231.706-12,Operações,Auxílio Doença,S93.4,2024-02-24,2024-08-16,174
92194,Augusto Fogaça,165.843.907-48,RH,Auxílio Doença,S93.4,2023-03-13,2023-07-31,140
90605,Letícia Rodrigues,625.914.370-25,Financeiro,Auxílio Doença,F32.1,2023-01-08,2023-05-30,142
48977,Matheus Silveira,103.468.275-07,TI,Aposentadoria por Invalidez,Z34.0,2025-06-12,2025-07-03,21
95688,Carlos Eduardo da Luz,304.972.158-88,TI,Auxílio Acidente,F32.1,2023-04-05,2023-05-01,26
11723,Srta. Camila Nogueira,860.297.513-95,Operações,Aposentadoria por Invalidez,M54.5,2024-05-23,2024-09-26,126
32810,Nicolas Moreira,690.285.473-47,RH,Aposentadoria por Invalidez,I10,2024-03-01,2024-07-15,136
65917,Luigi Aragão,027.865.913-68,RH,Aposentadoria por Invalidez,M54.5,2023-10-24,2023-11-23,30
28358,Nathan Dias,250.768.493-38,TI,Licença Maternidade,I10,2025-09-03,2025-12-23,111
91231,Ana Julia da Mota,503.127.986-95,Comercial,Auxílio Doença,S93.4,2024-04-06,2024-07-22,107
47598,Rebeca Lopes,865.207.413-53,Financeiro,Aposentadoria por Invalidez,S93.4,2023-06-12,2023-10-04,114
98685,Raul das Neves,506.847.192-58,Comercial,Auxílio Doença,I10,2025-04-06,2025-06-24,79
20054,Bryan Cardoso,085.342.697-00,Comercial,Auxílio Acidente,F32.1,2023-02-21,2023-04-23,61
62074,João Lucas das Neves,064.218.793-22,Operações,Licença Maternidade,M54.5,2024-01-21,2024-03-05,44
76186,Sarah Viana,891.427.036-03,Operações,Auxílio Acidente,M54.5,2023-08-07,2024-01-10,156
59531,Antônio Moraes,654.182.793-19,Comercial,Aposentadoria por Invalidez,Z34.0,2025-02-25,2025-06-18,113
67253,Igor Gomes,784.960.523-38,Operações,Auxílio Doença,I10,2022-12-20,2023-04-25,126
62497,Sr. Joaquim Ferreira,241.879.506-30,Operações,Licença Maternidade,I10,2025-09-12,2025-12-15,94
26772,Isis Rezende,320.571.649-34,TI,Aposentadoria por Invalidez,F32.1,2025-03-29,2025-07-10,103
99208,Dr. Vitor Ramos,783.514.926-55,Financeiro,Licença Maternidade,I10,2025-03-01,2025-08-23,175
87676,Davi Lucas Novaes,748.592.106-11,Comercial,Auxílio Doença,S93.4,2022-12-24,2023-02-18,56
99099,Srta. Eloah Viana,527.146.830-53,Operações,Aposentadoria por Invalidez,Z34.0,2023-07-30,2023-11-17,110
47791,Luiz Fernando Rodrigues,793.501.284-97,Comercial,Auxílio Acidente,Z34.0,2025-03-29,2025-07-18,111
59270,Julia Peixoto,065.739.821-77,Financeiro,Auxílio Doença,S93.4,2024-05-09,2024-05-24,15
25333,Sabrina Viana,924.875.036-29,RH,Auxílio Doença,M54.5,2025-03-11,2025-03-29,18
69657,Ana Julia Rocha,147.532.908-32,RH,Licença Maternidade,F32.1,2023-11-06,2023-11-24,18
76378,Bárbara Jesus,528.604.137-07,RH,Auxílio Doença,Z34.0,2023-10-16,2024-03-02,138
94094,Ana Beatriz da Mota,647.580.132-17,RH,Aposentadoria por Invalidez,I10,2024-08-15,2024-12-24,131
50080,Catarina Novaes,586.720.913-02,TI,Auxílio Doença,I10,2023-01-12,2023-03-02,49
72778,Dra. Maria Luiza Silveira,617.098.432-50,Operações,Aposentadoria por Invalidez,M54.5,2025-07-14,2025-09-09,57
67311,Laura Barbosa,025.376.498-00,Comercial,Licença Maternidade,Z34.0,2023-04-02,2023-09-15,166
85965,Bruna Novaes,573.149.028-79,Comercial,Licença Maternidade,M54.5,2024-01-19,2024-02-14,26
26535,Rafaela Aragão,490.812.763-87,Financeiro,Aposentadoria por Invalidez,F32.1,2025-06-24,2025-08-11,48
52042,Mariane da Luz,709.682.354-92,TI,Licença Maternidade,S93.4,2025-09-24,2025-12-08,75
29982,Sra. Lavínia Nascimento,867.359.014-01,Financeiro,Licença Maternidade,F32.1,2024-05-23,2024-07-01,39
70624,Maria Fernanda Silva,243.018.956-98,Operações,Auxílio Acidente,Z34.0,2023-07-01,2023-10-21,112
66615,Yuri Rodrigues,960.138.752-86,RH,Auxílio Doença,I10,2024-05-09,2024-07-09,61
32891,Clara Peixoto,834.620.715-80,Comercial,Auxílio Doença,M54.5,2023-10-27,2024-02-27,123
63814,Maria da Rosa,765.389.214-00,Comercial,Licença Maternidade,Z34.0,2024-11-29,2025-03-15,106
23350,Eduarda da Mota,356.490.817-00,Financeiro,Aposentadoria por Invalidez,M54.5,2024-07-15,2024-08-05,21
55463,Dra. Maria Julia Rodrigues,405.761.983-66,TI,Licença Maternidade,Z34.0,2025-03-31,2025-08-05,127
98790,Benício Cardoso,874.165.209-67,Comercial,Licença Maternidade,S93.4,2024-09-20,2024-11-18,59
33313,João Cardoso,956.031.824-15,Comercial,Licença Maternidade,I10,2025-10-16,2026-03-22,157
94337,Maria Vitória Ferreira,216.875.943-09,Comercial,Licença Maternidade,I10,2024-01-19,2024-02-03,15
68906,Sr. Pedro Henrique Lima,214.783.905-14,Comercial,Auxílio Doença,F32.1,2025-11-02,2025-11-25,23
82674,Bernardo da Rocha,178.354.906-84,RH,Aposentadoria por Invalidez,Z34.0,2025-12-05,2026-03-28,113
70326,Sr. Carlos Eduardo Aragão,316.875.420-07,TI,Auxílio Acidente,S93.4,2025-10-13,2025-11-21,39
70615,Heitor Almeida,439.560.718-75,Operações,Aposentadoria por Invalidez,S93.4,2024-01-26,2024-04-03,68
10507,Luiza Rezende,674.531.908-00,Comercial,Auxílio Doença,M54.5,2024-08-19,2024-12-19,122
13135,Sr. Lorenzo Rocha,691.854.703-84,Comercial,Auxílio Acidente,M54.5,2023-12-03,2024-05-12,161
97300,João Gabriel Martins,506.148.932-24,TI,Aposentadoria por Invalidez,S93.4,2025-05-01,2025-08-24,115
26909,Ana Beatriz Ribeiro,135.264.078-35,Comercial,Auxílio Acidente,S93.4,2025-06-21,2025-09-09,80
69302,Juliana Porto,892.165.703-77,Comercial,Auxílio Doença,F32.1,2025-02-07,2025-03-18,39
43580,Bruno Correia,231.095.864-60,RH,Licença Maternidade,S93.4,2025-06-25,2025-12-18,176
66887,Bianca Peixoto,497.503.621-52,Operações,Auxílio Doença,Z34.0,2024-06-13,2024-09-25,104
84910,Srta. Ana Luiza das Neves,062.514.897-58,Comercial,Licença Maternidade,Z34.0,2024-11-09,2025-04-12,154
61176,Milena Porto,520.179.846-20,Operações,Auxílio Doença,S93.4,2025-06-12,2025-08-03,52
22013,Arthur Rodrigues,405.163.297-07,Operações,Aposentadoria por Invalidez,S93.4,2023-10-16,2024-02-17,124
10414,Joana da Costa,520.967.431-25,Financeiro,Licença Maternidade,I10,2023-09-14,2023-12-15,92
59017,Rebeca Cardoso,491.867.350-39,Operações,Licença Maternidade,M54.5,2023-02-17,2023-04-23,65
37492,Isabel Rodrigues,964.250.713-70,Comercial,Auxílio Acidente,S93.4,2025-02-14,2025-06-05,111
16754,Vitor Ferreira,410.598.236-24,TI,Licença Maternidade,I10,2024-04-21,2024-08-17,118
18956,Sr. Otávio da Rosa,105.634.897-66,RH,Aposentadoria por Invalidez,F32.1,2023-08-31,2023-11-29,90
57979,Dr. João Miguel Moura,785.629.341-19,TI,Auxílio Acidente,F32.1,2025-08-31,2026-01-12,134
55801,Lorena das Neves,653.014.729-25,RH,Auxílio Acidente,S93.4,2025-04-19,2025-05-31,42
14480,Kevin Melo,631.842.079-78,Operações,Auxílio Doença,Z34.0,2025-12-15,2026-02-20,67
67689,Sr. Pedro Lucas Caldeira,738.014.652-17,Comercial,Auxílio Doença,I10,2023-01-11,2023-04-23,102
56364,Olivia da Luz,693.854.210-42,Operações,Aposentadoria por Invalidez,S93.4,2025-04-25,2025-07-01,67
96666,Enzo Gabriel Barbosa,571.294.380-88,RH,Aposentadoria por Invalidez,S93.4,2025-08-08,2026-01-15,160
68739,Dra. Sophia Viana,624.708.193-69,Operações,Licença Maternidade,Z34.0,2024-03-30,2024-07-18,110
21246,Natália Ramos,218.706.594-49,TI,Auxílio Acidente,M54.5,2024-10-03,2024-11-25,53
77141,Nicolas Santos,760.249.815-11,Operações,Auxílio Doença,M54.5,2024-09-08,2024-10-27,49
28985,Ana Sophia Fernandes,945.703.216-07,TI,Licença Maternidade,I10,2023-07-14,2023-10-05,83
43461,Luiz Otávio da Rosa,853.709.261-40,Operações,Aposentadoria por Invalidez,M54.5,2025-08-03,2025-08-15,12
19290,Mirella Pereira,632.590.784-10,Financeiro,Aposentadoria por Invalidez,F32.1,2025-08-20,2025-10-04,45
13701,Alexandre Porto,409.753.862-47,RH,Aposentadoria por Invalidez,F32.1,2024-12-22,2025-06-18,178
56725,Paulo Silva,702.683.914-40,RH,Auxílio Acidente,Z34.0,2023-09-17,2023-12-25,99
12749,Clarice Alves,706.283.594-38,Operações,Auxílio Acidente,M54.5,2023-01-31,2023-06-03,123
63831,Maria Clara Barros,431.760.952-52,TI,Auxílio Doença,F32.1,2023-02-19,2023-03-29,38
78027,Bryan Alves,647.082.513-35,Operações,Auxílio Acidente,F32.1,2024-03-02,2024-08-19,170
26093,Kamilly da Mota,216.075.934-16,Operações,Auxílio Doença,F32.1,2023-02-01,2023-05-15,103
35063,Manuela Alves,076.154.928-58,Comercial,Licença Maternidade,I10,2023-06-14,2023-07-30,46
91752,Isabel Vieira,794.638.510-20,RH,Aposentadoria por Invalidez,I10,2024-07-21,2024-12-19,151
20060,Ana Carolina da Costa,430.257.168-35,TI,Auxílio Acidente,F32.1,2024-03-21,2024-04-13,23
51749,Pedro Henrique Peixoto,598.617.230-21,Financeiro,Aposentadoria por Invalidez,F32.1,2024-04-28,2024-10-22,177
80012,Eduardo Pereira,310.468.957-10,Operações,Auxílio Doença,S93.4,2023-02-15,2023-04-28,72
98723,Anthony Fernandes,549.280.673-47,RH,Licença Maternidade,M54.5,2024-05-24,2024-08-06,74
17514,Sr. Pedro Miguel Carvalho,485.162.703-35,TI,Auxílio Doença,I10,2024-05-04,2024-10-21,170
61238,Alana Rocha,431.597.620-25,Comercial,Auxílio Doença,M54.5,2023-06-30,2023-12-18,171
36851,Matheus Cardoso,580.243.197-05,Financeiro,Licença Maternidade,I10,2025-01-02,2025-05-26,144
52884,Vicente Nunes,586.703.129-21,RH,Aposentadoria por Invalidez,M54.5,2024-09-22,2024-10-25,33
28529,Isadora Nogueira,781.296.403-50,RH,Aposentadoria por Invalidez,I10,2023-08-14,2023-08-22,8
45722,Murilo Cunha,690.257.431-61,RH,Auxílio Acidente,Z34.0,2025-01-23,2025-04-29,96
87531,Fernando Almeida,967.542.308-00,RH,Auxílio Acidente,S93.4,2024-03-23,2024-09-13,174
47549,Juliana Rodrigues,167.820.354-80,RH,Auxílio Acidente,I10,2023-09-07,2023-10-23,46
31738,Agatha da Paz,789.021.453-79,Operações,Licença Maternidade,I10,2023-08-01,2023-10-14,74
78089,Lorenzo Silveira,362.947.508-65,TI,Auxílio Doença,I10,2023-09-12,2023-10-23,41
66555,Luiz Henrique Rodrigues,482.970.653-83,Financeiro,Auxílio Acidente,Z34.0,2025-10-12,2026-03-10,149
90342,Dra. Ana Vitória Vieira,148.025.963-24,TI,Auxílio Doença,M54.5,2023-01-12,2023-04-05,83
29284,Isabelly Moura,468.791.302-40,Financeiro,Licença Maternidade,S93.4,2023-12-09,2024-05-21,164
65770,Dra. Maria Vitória Aragão,081.236.975-03,Financeiro,Licença Maternidade,F32.1,2025-02-18,2025-06-11,113
58301,Enzo Gabriel Almeida,804.972.516-20,Comercial,Auxílio Acidente,M54.5,2025-01-26,2025-06-02,127
80840,Ana Laura Ramos,816.240.357-44,Comercial,Licença Maternidade,I10,2023-06-15,2023-12-07,175
57533,Gustavo Cavalcanti,946.205.817-20,TI,Auxílio Doença,F32.1,2025-08-29,2026-01-05,129
62286,Isadora Pinto,152.630.978-59,Financeiro,Aposentadoria por Invalidez,S93.4,2022-12-18,2023-01-07,20
13055,Sra. Ana Lívia Rezende,304.791.625-06,RH,Aposentadoria por Invalidez,Z34.0,2022-12-30,2023-01-17,18
53144,João Lucas Moreira,081.295.643-51,Operações,Auxílio Acidente,I10,2025-03-22,2025-04-07,16
39309,Helena Fernandes,623.978.501-68,Operações,Aposentadoria por Invalidez,M54.5,2023-07-28,2023-11-23,118
97088,Ryan Silveira,705.324.168-80,Operações,Auxílio Acidente,F32.1,2025-10-09,2025-11-25,47
53270,Lucas Gabriel Souza,048.927.136-78,Financeiro,Licença Maternidade,S93.4,2023-05-14,2023-05-24,10
50652,Joaquim Moreira,918.402.756-85,Comercial,Auxílio Acidente,I10,2024-05-02,2024-09-03,124
76234,Thomas Rocha,842.301.569-60,Comercial,Auxílio Acidente,F32.1,2024-11-13,2025-01-13,61
43824,Milena Cardoso,023.647.598-38,Operações,Aposentadoria por Invalidez,M54.5,2023-10-05,2024-01-23,110
17268,Maria Fernanda Alves,027.981.346-50,Operações,Aposentadoria por Invalidez,F32.1,2023-10-13,2023-11-11,29
70193,Gabriela Rezende,732.958.401-05,Comercial,Aposentadoria por Invalidez,S93.4,2024-01-01,2024-01-21,20
51407,Letícia Ramos,946.578.132-00,Financeiro,Licença Maternidade,I10,2023-09-22,2024-02-29,160
38819,Gustavo Henrique Souza,980.461.735-84,RH,Licença Maternidade,F32.1,2023-10-04,2024-01-22,110
27194,Dra. Agatha Teixeira,810.763.492-69,Financeiro,Licença Maternidade,I10,2023-07-29,2023-09-06,39
85291,Maria Alice Silva,523.871.690-77,RH,Licença Maternidade,F32.1,2024-01-29,2024-03-29,60
42008,Emanuella da Luz,407.256.319-61,TI,Auxílio Doença,M54.5,2023-01-21,2023-02-23,33
70360,Ana Sophia da Mata,061.273.985-68,RH,Aposentadoria por Invalidez,I10,2025-04-30,2025-09-12,135
94210,Thomas Cunha,837.426.015-71,Operações,Auxílio Acidente,F32.1,2025-08-27,2025-12-08,103
60061,Bernardo Azevedo,681.254.907-01,Comercial,Aposentadoria por Invalidez,Z34.0,2024-06-06,2024-10-09,125
23195,Dra. Isadora Fernandes,435.179.208-60,RH,Auxílio Acidente,S93.4,2025-05-29,2025-10-04,128
56539,Srta. Marcela da Paz,864.310.729-87,Operações,Auxílio Doença,F32.1,2023-07-15,2023-10-13,90
13685,Evelyn Ramos,903.846.157-75,TI,Aposentadoria por Invalidez,I10,2023-07-08,2023-08-11,34
62575,Mirella Azevedo,356.908.241-51,RH,Aposentadoria por Invalidez,F32.1,2025-12-06,2026-03-08,92
59656,Vitória Nogueira,569.041.832-33,Financeiro,Licença Maternidade,M54.5,2023-12-28,2024-05-04,128
83237,Ian da Rocha,486.279.053-47,Operações,Licença Maternidade,M54.5,2023-09-29,2024-03-03,156
54045,Luiz Felipe Nogueira,650.872.341-35,Financeiro,Licença Maternidade,Z34.0,2025-01-13,2025-02-05,23
86767,Larissa Cardoso,364.089.512-60,Comercial,Licença Maternidade,M54.5,2025-12-12,2026-04-03,112
18371,Vitor Gabriel Nascimento,914.837.652-37,TI,Auxílio Doença,Z34.0,2023-12-31,2024-06-09,161
86877,Vitor Gabriel Moura,019.276.483-78,Financeiro,Licença Maternidade,Z34.0,2025-09-28,2026-02-08,133
42403,Enzo Barbosa,857.364.190-84,TI,Auxílio Doença,F32.1,2023-10-20,2024-04-13,176
81232,Sophie Sales,831.526.497-46,TI,Auxílio Acidente,Z34.0,2025-09-19,2026-02-10,144
69899,Marcos Vinicius da Conceição,329.710.486-40,TI,Auxílio Acidente,S93.4,2024-09-21,2025-02-15,147
49045,Thiago Moura,718.604.392-50,Comercial,Aposentadoria por Invalidez,Z34.0,2024-08-06,2024-09-12,37
68347,Leonardo Melo,109.586.427-02,Operações,Aposentadoria por Invalidez,S93.4,2025-02-27,2025-05-05,67
31886,Matheus Gomes,374.192.605-16,TI,Licença Maternidade,I10,2024-03-07,2024-06-13,98
36654,Gabriela Silva,590.126.437-16,Financeiro,Aposentadoria por Invalidez,Z34.0,2025-06-25,2025-07-18,23
10860,Maria Alice Fogaça,064.893.725-92,RH,Auxílio Doença,I10,2025-08-09,2025-08-25,16
27210,Paulo Porto,694.108.375-10,Financeiro,Licença Maternidade,S93.4,2023-07-25,2023-10-08,75
66770,Maria Clara Fernandes,431.280.756-62,RH,Auxílio Doença,Z34.0,2025-03-06,2025-08-06,153
26391,Caio Ramos,892.563.407-47,Operações,Aposentadoria por Invalidez,I10,2023-06-23,2023-08-24,62
78018,Julia Costela,798.052.163-30,TI,Auxílio Doença,F32.1,2024-12-02,2025-04-20,139
16184,Eloah da Cunha,236.159.870-12,Financeiro,Auxílio Acidente,F32.1,2024-06-07,2024-06-23,16
37163,Bianca Monteiro,102.583.476-35,RH,Auxílio Doença,M54.5,2025-07-23,2025-11-26,126
74461,Luiza Barros,257.140.693-07,Comercial,Licença Maternidade,Z34.0,2025-10-31,2026-02-26,118
87807,Luiz Henrique Cunha,413.578.269-82,RH,Aposentadoria por Invalidez,M54.5,2024-12-27,2025-01-23,27
48881,Enrico Costela,592.401.786-94,Comercial,Aposentadoria por Invalidez,F32.1,2024-07-12,2024-08-27,46
83837,Luiz Gustavo Cavalcanti,321.945.678-28,TI,Auxílio Acidente,Z34.0,2024-11-27,2024-12-05,8
15083,Pedro Miguel Fogaça,804.679.251-94,Comercial,Aposentadoria por Invalidez,I10,2023-02-23,2023-07-24,151
99898,João Gabriel Carvalho,056.387.921-12,RH,Auxílio Doença,I10,2023-04-03,2023-04-22,19
50146,Juan Costela,748.520.396-74,Operações,Auxílio Acidente,M54.5,2023-07-09,2023-10-12,95
53330,Vinicius Teixeira,538.214.769-82,RH,Auxílio Doença,F32.1,2024-02-23,2024-03-21,27
13829,Ian Correia,768.350.912-40,Comercial,Aposentadoria por Invalidez,S93.4,2024-09-18,2024-11-04,47
98638,Bianca Porto,703.412.586-44,Financeiro,Aposentadoria por Invalidez,S93.4,2023-02-27,2023-03-19,20
16525,Erick Gomes,395.106.748-93,TI,Aposentadoria por Invalidez,M54.5,2023-10-23,2024-02-29,129
61848,Lucas Gabriel Correia,437.196.825-28,TI,Aposentadoria por Invalidez,I10,2023-11-04,2023-12-05,31
53743,Julia Aragão,603.719.584-66,TI,Aposentadoria por Invalidez,I10,2023-05-09,2023-08-05,88
62069,Maria Gonçalves,536.412.709-52,Operações,Licença Maternidade,I10,2024-04-17,2024-09-25,161
40889,Vitor Hugo Costa,620.845.179-58,RH,Licença Maternidade,M54.5,2023-01-01,2023-03-17,75
